date,time,device,keyword,company,position,title,url
2020-02-22,10:33:31,Desktop,casino,Other,1,Top 10 Casino Sites 2020 | 10 Best Online Casino Sites,https://www.top10bestonlinecasinos.co.uk/
2020-02-22,10:33:31,Desktop,casino,Other,1,Top 10 Casino Sites 2020 | 10 Best Online Casino Sites,https://www.top10bestonlinecasinos.co.uk/
2020-02-22,10:33:31,Desktop,casino,Other,1,Top 10 Casino Sites 2020 | 10 Best Online Casino Sites,https://www.top10bestonlinecasinos.co.uk/
2020-02-22,10:33:31,Desktop,casino,Other,1,Top 10 Casino Sites 2020 | 10 Best Online Casino Sites,https://www.top10bestonlinecasinos.co.uk/casino-compare
2020-02-22,10:33:31,Desktop,casino,Other,1,Top 10 Casino Sites 2020 | 10 Best Online Casino Sites,https://www.top10bestonlinecasinos.co.uk/articles/online-casino-payment-methods
2020-02-22,10:33:31,Desktop,casino,Other,2,Top10 Online Casino Sites 2020 | Find The Best Casinos For You,https://bestukcasinosites.org/
2020-02-22,10:33:31,Desktop,casino,Other,3,Best Online Casino Sites UK | Top10 Online Casino Sites 2020,http://5staronlinecasinos.co.uk/casino/
2020-02-22,10:33:31,Desktop,casino,Other,4,Get Your £400 Welcome Bonus | Join Grosvenor Online Casino,https://content.grosvenorcasinos.com/400-casino/
2020-02-22,10:33:31,Desktop,casino,Playright,5,Top 10 Best Casino Sites 2020 | Get Exclusive Casino Bonuses,https://playright.co.uk/casino/page/best-casino-sites/
2020-02-22,10:33:31,Desktop,casino,Playright,5,Top 10 Best Casino Sites 2020 | Get Exclusive Casino Bonuses,https://playright.co.uk/casino/page/main/
2020-02-22,10:33:31,Desktop,casino,Playright,5,Top 10 Best Casino Sites 2020 | Get Exclusive Casino Bonuses,https://playright.co.uk/casino/page/slots/
2020-02-22,10:33:31,Desktop,casino,Playright,5,Top 10 Best Casino Sites 2020 | Get Exclusive Casino Bonuses,https://playright.co.uk/casino/page/slots
2020-02-22,10:33:31,Desktop,casino,Playright,6,UK's 10 Best Online Casinos | UK's Most Exclusive Offers,https://10bestcasinos.co.uk/en-en_d.html
2020-02-22,10:33:31,Desktop,casino,Playright,6,UK's 10 Best Online Casinos | UK's Most Exclusive Offers,https://10bestcasinos.co.uk/review/casinogods.html
2020-02-22,10:33:31,Desktop,casino,Playright,6,UK's 10 Best Online Casinos | UK's Most Exclusive Offers,https://10bestcasinos.co.uk/si_lc.html
2020-02-22,10:33:31,Desktop,casino,Playright,6,UK's 10 Best Online Casinos | UK's Most Exclusive Offers,https://10bestcasinos.co.uk/si_rl.html
2020-02-22,10:33:31,Desktop,casino,Other,7,Your #1 Casino Choice | 100% up to £136 + 36 Spins,https://www.google.com/aclk?sa=l&ai=DChcSEwjvrcnd-uTnAhUC4O0KHSDTDBMYABAHGgJkZw&sig=AOD64_1RATiY6orkkqY7PyN68u8kCDsJnA&adurl=&q=
2020-02-22,10:33:31,Desktop,casino,ICE36,7,Your #1 Casino Choice | 100% up to £136 + 36 Spins,https://www.ice36.co.uk/live-casino/
2020-02-22,10:33:31,Desktop,casino,ICE36,7,Your #1 Casino Choice | 100% up to £136 + 36 Spins,https://www.ice36.co.uk/slots-jackpots/
2020-02-22,10:33:31,Desktop,casino,ICE36,7,Your #1 Casino Choice | 100% up to £136 + 36 Spins,https://www.ice36.co.uk/jackpot-casino/
2020-02-22,10:33:31,Mobile,casino,Other,1,Top 10 Casino Sites 2020 | 10 Best Online Casino Sites,https://www.top10bestonlinecasinos.co.uk/
2020-02-22,10:33:31,Mobile,casino,Other,2,Top 10 Best UK Casinos Online | Get The Most Updated Offers,http://bestukcasinosites.org/mobile-casino/
2020-02-22,10:33:31,Mobile,casino,Ubet,3,Top 10 Best Casino Sites 2020 | Find the #1 Casino in Our Site | UBET.co.uk,https://casino.ubet.co.uk/tm/
2020-02-22,10:33:31,Mobile,casino,Ubet,4,10 Best Online Casino Sites UK | Online Casino Comparison 2020,https://10bestcasinos.co.uk/en-en_m.html
2020-02-22,10:33:31,Mobile,casino,Other,5,Up To £400 Welcome Bonus | Join Grosvenor Online Casino,https://content.grosvenorcasinos.com/400-casino/?utm_campaign=1478198608&utm_medium=acq-ppc-google&utm_source=400-BiB-gen-slots&utm_content=m&utm_matchtype=e&utm_keyword=slot
2020-02-22,10:33:31,Mobile,casino,Other,6,Top 10 Online Casino Sites UK | Mega Bonuses & Fast Payouts,http://5staronlinecasinos.co.uk/casino-mob/
2020-02-22,10:33:31,Mobile,casino,The sun vegas,7,The Best Online Casino | 100% Up To £300 +20 Free Spins,https://www.thesunvegas.co.uk/offers/casino/free-spins/?gclsrc=
